,Geo_Type,Geo_Name,Geo_ID,UnemploymentRate_ESRI,UnemploymentRate_BLS,Unemployment_Adjustment
136,US.CBSA,"Big Stone Gap, VA Micropolitan Statistical Area",13720,12.9,6.1,0.4728682170542635
137,US.CBSA,"Billings, MT Metropolitan Statistical Area",13740,12.9,4.1,0.31782945736434104
138,US.CBSA,"Binghamton, NY Metropolitan Statistical Area",13780,12.2,6.1,0.5
139,US.CBSA,"Birmingham-Hoover, AL Metropolitan Statistical Area",13820,12.0,5.3,0.44166666666666665
140,US.CBSA,"Bismarck, ND Metropolitan Statistical Area",13900,8.7,3.2,0.36781609195402304
141,US.CBSA,"Blackfoot, ID Micropolitan Statistical Area",13940,9.8,3.5,0.3571428571428571
142,US.CBSA,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",13980,10.9,3.8,0.34862385321100914
143,US.CBSA,"Bloomington, IL Metropolitan Statistical Area",14010,10.2,4.1,0.4019607843137255
144,US.CBSA,"Bloomington, IN Metropolitan Statistical Area",14020,15.1,4.0,0.26490066225165565
145,US.CBSA,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",14100,20.0,5.2,0.26
146,US.CBSA,"Bluefield, WV-VA Micropolitan Statistical Area",14140,10.3,6.7,0.6504854368932038
147,US.CBSA,"Blytheville, AR Micropolitan Statistical Area",14180,14.8,8.5,0.5743243243243243
148,US.CBSA,"Bogalusa, LA Micropolitan Statistical Area",14220,21.3,9.2,0.43192488262910794
149,US.CBSA,"Boise City, ID Metropolitan Statistical Area",14260,11.8,5.4,0.4576271186440678
150,US.CBSA,"Bonham, TX Micropolitan Statistical Area",14300,7.2,4.0,0.5555555555555556
151,US.CBSA,"Boone, NC Micropolitan Statistical Area",14380,14.2,4.1,0.2887323943661972
152,US.CBSA,"Borger, TX Micropolitan Statistical Area",14420,8.7,6.5,0.7471264367816093
153,US.CBSA,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,14.7,6.7,0.4557823129251701
154,US.CBSA,"Boulder, CO Metropolitan Statistical Area",14500,7.7,5.2,0.6753246753246753
155,US.CBSA,"Bowling Green, KY Metropolitan Statistical Area",14540,17.4,6.8,0.39080459770114945
156,US.CBSA,"Bozeman, MT Micropolitan Statistical Area",14580,11.9,3.5,0.29411764705882354
157,US.CBSA,"Bradford, PA Micropolitan Statistical Area",14620,21.1,6.6,0.31279620853080564
158,US.CBSA,"Brainerd, MN Micropolitan Statistical Area",14660,14.1,4.0,0.28368794326241137
159,US.CBSA,"Branson, MO Micropolitan Statistical Area",14700,14.5,4.9,0.33793103448275863
160,US.CBSA,"Breckenridge, CO Micropolitan Statistical Area",14720,9.1,7.9,0.8681318681318682
161,US.CBSA,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",14740,16.2,5.5,0.3395061728395062
162,US.CBSA,"Brenham, TX Micropolitan Statistical Area",14780,9.1,5.3,0.5824175824175825
163,US.CBSA,"Brevard, NC Micropolitan Statistical Area",14820,11.8,4.8,0.4067796610169491
164,US.CBSA,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",14860,9.8,6.2,0.6326530612244897
165,US.CBSA,"Brookhaven, MS Micropolitan Statistical Area",15020,11.7,6.4,0.5470085470085471
166,US.CBSA,"Brookings, OR Micropolitan Statistical Area",15060,11.4,6.6,0.5789473684210525
167,US.CBSA,"Brookings, SD Micropolitan Statistical Area",15100,6.9,3.3,0.47826086956521735
168,US.CBSA,"Brownsville, TN Micropolitan Statistical Area",15140,12.4,9.5,0.7661290322580645
169,US.CBSA,"Brownsville-Harlingen, TX Metropolitan Statistical Area",15180,10.6,9.5,0.8962264150943396
170,US.CBSA,"Brownwood, TX Micropolitan Statistical Area",15220,7.7,5.9,0.7662337662337663
171,US.CBSA,"Brunswick, GA Metropolitan Statistical Area",15260,15.8,4.5,0.28481012658227844
172,US.CBSA,"Bucyrus-Galion, OH Micropolitan Statistical Area",15340,15.3,5.1,0.3333333333333333
173,US.CBSA,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",15380,11.8,6.9,0.5847457627118644
174,US.CBSA,"Burley, ID Micropolitan Statistical Area",15420,9.5,3.3,0.34736842105263155
175,US.CBSA,"Burlington, IA-IL Micropolitan Statistical Area",15460,12.4,4.2,0.33870967741935487
176,US.CBSA,"Burlington, NC Metropolitan Statistical Area",15500,10.7,6.0,0.5607476635514019
177,US.CBSA,"Burlington-South Burlington, VT Metropolitan Statistical Area",15540,12.3,2.1,0.17073170731707316
178,US.CBSA,"Butte-Silver Bow, MT Micropolitan Statistical Area",15580,13.2,4.8,0.36363636363636365
179,US.CBSA,"Cadillac, MI Micropolitan Statistical Area",15620,20.5,4.0,0.1951219512195122
180,US.CBSA,"Calhoun, GA Micropolitan Statistical Area",15660,12.5,3.2,0.256
181,US.CBSA,"California-Lexington Park, MD Metropolitan Statistical Area",15680,9.2,5.2,0.5652173913043479
182,US.CBSA,"Cambridge, MD Micropolitan Statistical Area",15700,10.5,7.5,0.7142857142857143
183,US.CBSA,"Cambridge, OH Micropolitan Statistical Area",15740,17.6,5.4,0.3068181818181818
184,US.CBSA,"Camden, AR Micropolitan Statistical Area",15780,12.1,5.1,0.4214876033057851
185,US.CBSA,"Campbellsville, KY Micropolitan Statistical Area",15820,17.8,5.7,0.3202247191011236
